TOP LEVEL,LEVEL 1,LEVEL 2,LEVEL 3,LEVEL 4,LEVEL 5,Final Recommendations -- Keep Translations Synced,Out of scope for TYS (Access ),Corp Comm Page (Out of Scope for TYS),Translated,URLs,Comments
,,,Manufactured Home Program | Save Money and Energy,,,,,,,https://www.sce.com/wps/portal/home/residential/rebates-savings/manufactured-home-program/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSUdFNUEwSUIwOVQ1TDYzVEMy/,
,,,energy-savings-tips,,,,,,,https://www.sce.com/wps/portal/home/residential/rebates-savings/energy-savings-tips/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0pJREExRzQySThIVkYwQThRQVVBRk0yS0cx/,
,,,,Cool Center Locator,,,,,,https://www.sce.com/wps/portal/home/residential/rebates-savings/energy-savings-tips/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0pJREExRzQySThIVkYwQThRQVVBRk0yS0cx/,
,,Help With Your Bill,,,,1,,,Y,https://www.sce.com/wps/portal/home/residential/assistance/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSUdGMUQwSUpWMVNMMEQwNEYw/,
,,,CARE and FERA Rate Programs,,,1,,,Y,https://www.sce.com/wps/portal/home/residential/assistance/care-fera/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSTBTQjQwSUJKMFE4MVAxNVUy/,
,,,,CARE and FERA Capitation Details,,,,,,https://www.sce.com/wps/portal/home/residential/assistance/care-fera/capitation/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSTBTQjQwSUJKMFE4MVAxRFAw/,
,,,,High Energy Usage FAQ,,1,,,Y,https://www.sce.com/wps/portal/home/residential/assistance/care-fera/High-Energy-Usage-FAQ/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0pJREExRzQySThDNDMwQVVJRDBNR1UwMDg1/,
,,,Energy Assistance Fund,,,1,,,Y,https://www.sce.com/wps/portal/home/residential/assistance/energy-assistance-fund/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSUdVMzYwSUpWTDRNVEIxMEw1/,
,,,,Energy Assistance Fund Terms & Conditions,,,,,,https://www.sce.com/wps/portal/home/residential/assistance/energy-assistance-fund/terms/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSTBLVjAwSUJENkxJTlQwVUEz/,
,,,Receive free appliances from SCE - Energy Savings Assistance Program,,,1,,,Y,https://www.sce.com/wps/portal/home/residential/assistance/energy-saving-program/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSThCM0UwSUIwT05BUkEwR0U3/,
